NAME,MBID,URL,IMAGE_SMALL,IMAGE
The Weekend,ea3c48bd-6d3c-4039-89eb-fd839f6f98cd,https://www.last.fm/music/The+Weekend,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weekend Run Club,,https://www.last.fm/music/The+Weekend+Run+Club,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Blanche Hudson Weekend,0858af24-6d98-4f16-ae91-3122e8d64186,https://www.last.fm/music/The+Blanche+Hudson+Weekend,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weeeknd,,https://www.last.fm/music/The+Weeeknd,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weekend Classic,,https://www.last.fm/music/The+Weekend+Classic,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Chewinggum Weekend,a801f671-14a8-4fe3-913d-3d6f4e688bff,https://www.last.fm/music/The+Chewinggum+Weekend,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weekend Care Crash,,https://www.last.fm/music/The+Weekend+Care+Crash,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Staying for the Weekend,372d39df-1ab5-4e83-a503-3e48a75e19ee,https://www.last.fm/music/Staying+for+the+Weekend,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weekend Quintet,,https://www.last.fm/music/The+Weekend+Quintet,,
The Weekenders,96fa0175-154c-400d-98a7-bb5760eb6655,https://www.last.fm/music/The+Weekenders,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
The Weekend Riot,,https://www.last.fm/music/The+Weekend+Riot,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
"Weekend/The Weeknd/Ariana Grande, The",,"https://www.last.fm/music/Weekend%2FThe+Weeknd%2FAriana+Grande,+The",,
